id,autahunor,guid,description,Text Cleaning,Sentiment
49,@candraaji5182,UgxcpKxO_pVT9tPwS9l4AaABAg,"Seperti inikah sosok seorang pemimpin,",Seperti inikah sosok seorang pemimpin,positif
50,@yorganindriami275,Ugx9xBY8u5QWdpEjHYN4AaABAg,MK sama saja saya lebih baik mengadu dan percaya sama ke adilan allah SWT...,Mk sama saja saya lebih baik mengadu dan percaya sama keadilan allah swt,positif
51,@inalsaputrainal8328,Ugxl6IdaLGmr7x48n7J4AaABAg,Mau kemana aja sama yg menang pasti menang tanpa kompromi,Mau kemana aja sama yg menang pasti menang tanpa kompromi,positif
52,@bluebee2926,UgxhGbW-2UQWRDiWdF14AaABAg,Adakah yang percaya sama MK ? Hukum negeri ini suka becanda Pak...,Adakah yang percaya sama mk hukum negeri ini suka becanda pak,negatif
53,@dolaylay3721,UgzmG-RgHRx8TS1FIRV4AaABAg,Sya gak Gk puas bapak jadi president ðŸ˜‚ðŸ˜‚ðŸ˜‚,saya tidak puas bapak jadi president,negatif
54,@wswahjoe,UgyWD1y-Cg5C5hOCetahun4AaABAg,norak lu ah,Norak lu ah,negatif
55,@fxgaming3639,UgwZWUhYLc-jmuwGJj14AaABAg,Ini para mahasiswa latihan untuk perang dunia ke duaðŸ™ðŸ™ðŸ™,Ini para mahasiswa latihan untuk perang dunia ke dua,negatif
56,@tahuneMtrikurnia,Ugx8RRIEILzbHQ9e6oh4AaABAg,MMK x,,negatif
57,@yunitawijaya1784,Ugwe3L4onWKjJKIm3eB4AaABAg,"Mana suaranya nih yg dukun mati""an dua periode ðŸ˜‚ðŸ˜‚ðŸ˜‚ mantapkn",Mana suaranya nih yg dukun matian dua periode mantapkn,negatif
58,@mepanjaitan7305,Ugy-Uh7RZI9ICX0dOSx4AaABAg,"Saya ngaduh kedukun santet aja,.",Saya ngaduh kedukun santet aja,negatif
59,@utahunautahuna1492,UgxWuYRHBN98zW1vuIt4AaABAg,Dibilng jangn nyoblos dia lagi,Dibilng jangn nyoblos dia lagi,negatif
60,@ahmadirkham864,UgyVewYUz0RqaCQN8g94AaABAg,"SAYA HANYA TAKUT! KETIKA ALLAH MENG IJABAH DOA2 PARA BURUH YANG TER DZOLIMI! KALIAN PARA DPR ,APAKAH KALIAN BISA LARI DARI ADZAB ALLAH YANG PEDIH? bayangkan ketika allah ikut campur tangan mendamaikan negara ini! Maka adzab yang sangat pedih maka allah akan turunkan!",Saya hanya takut ketika allah,positif
61,@ahmadirkham864,UgyVewYUz0RqaCQN8g94AaABAg.9EibiiMA9yd9EibrCOjSzY,Ingat! Doa teraniaya adalah salah satu doa yang paling allah ijabahkan! Nauzubillah hi min dzalik,Ingat doa teraniaya adalah salah satu doa yang paling allah ijabahkan nauzubillah hi min dzalik,positif
62,@denbagus-ch,UgynPa_-rHeI60V5xPh4AaABAg,"Kalau uu cipta krj fkus utk mnekan angka korupsisi knp ga ada point2 yg scra lngsng berhubungan dngan korupsisi, ini point2nya lbh miris ke pekerja alias buruh ðŸ˜¢",Kalau uu cipta krj fkus utk mnekan angka korupsisi knp ga ada point2 yg scra lngsng berhubungan dngan korupsisi ini point2nya lbh miris ke pekerja alias buruh,netral
63,@sifaun530,UgyT8qZi5inhaVNk1Hp4AaABAg,Seng di uji utekmu bos. Wes sni atau blm.,Seng di uji utekmu bos wes sni atau blm,negatif
64,@muhammadalif9161,Ugwkp0ClET2HYA9NyiB4AaABAg,"Hancur lah pak negara kita yang kaya akan alam nya ini, gak usah pak omnibus low itu ,, slow-slow aja pakðŸ‘",Hancur lah pak negara kita yang kaya akan alam nya ini gak usah pak omnibus low itu slowslow aja pak,netral
65,@sumiati1475,UgwFjU6kcXvpheA3keJ4AaABAg,"Mk nya org2 pemerintahan juga,,, ngakakkk",Mk nya org2 pemerintahan juga ngakakkk,positif
66,@adiezerif3436,Ugw-osVVeQ-6qeIPnR94AaABAg,"""silahkan matikan mik pak"" itu anak nya nene lampir klakuan nya pikir pak jangan planga plongo",Silahkan matikan mik pak itu anak nya nene lampir klakuan nya pikir pak jangan planga plongo,negatif
67,@akbarrizkyyadi6386,Ugy6IZf19KvGTZlUqcN4AaABAg,Lapor km itu sama bohong kan itu semua bawahan siap,Lapor km itu sama bohong kan itu semua bawahan siap,negatif
68,@roniefendi8989,UgxwkBNJiLp4RCU0Qjx4AaABAg,Semoga ALLAH LAKNAT KALIAN SEMUA YANG MENINDAS RAKYAT KECIL AMINYARABBAL\'ALAMIN.YA ALLAH KAU TUNJUKAN KEBENARAN DAN KE ADILAN. SEMOGA PARA PEMIMPIN RAKYAT YG TIDAK ADIL ALLAH LAKNAT KALIAN SEMUA. AAMINN YA ALLAHðŸ¤²ðŸ¤²,Semoga allah laknat kalian semua yang menindas rakyat kecil aminyarabbalalaminya allah kau tunjukan kebenaran dan ke adilan semo,netral
69,@Gegeralam,Ugy4OnFQevERhAVoCmd4AaABAg,"Kamu kayak yg ngerti bangsa dan negaramu saja. Sejak kapan dpr RI itu bisa menyelesaikan tugas legislativenya tepat waktu apalagi ribuan uu, yg mau disederhanakan sekalipun. Kamu saja diberi kesempatan ngurus apbn eh dipake saenaknya, kayak duit bapak moyangmu. Yg ujung2nya hutang rakyatmu juga, mana hatimu mana janjimu mana kerjamu yg membahagiakan rakyat.",,netral
70,@weekaaja2915,UgwYRNzrDtEIxCXNblt4AaABAg,Ya Alloh..Azablah pejabat2 yg menyengsarakan rakyatnya. Amiiiiinnn,Ya pejabat yang sengsara rakyat amin,negatif
71,@edixpayne8117,Ugw_JMBe26T3rboZ9kd4AaABAg,Prabowo aja dikalahin di MK apalagi rakyat... !! Saran yg menyesatkan,Prabowo aja dikalahin di mk apalagi rakyat saran yg menyesatkan,negatif
72,@rossifals1405,Ugw_JMBe26T3rboZ9kd4AaABAg.9Eh96VOkUBd9EkJGElqceD,Jenius,Jenius,positif
73,@Kasepchanel,Ugy7vicys4rb5JLgPZV4AaABAg,hahaha ke MK....sama aja masuk ke mulut SINGA...,Hahaha ke mksama aja masuk ke mulut singa,negatif
74,@atulrf1622,UgzpP5fhsOa6dz1aiIR4AaABAg,"MK yg pilih hakim nya siapa ya pak.wkwkwkðŸ˜…ðŸ˜… Insyaallah ALLAH itu adil pasti ada balasan dari setiap perbuatan..jika benar bapak membuat UU ini untuk kebaikan,maka balasanya pasti juga baik di berikan oleh ALLAH,tapi jika bapak membuat UU ini untuk niat yang tidak baik,maka pasti ALLAH juga akan membalasnya setimpal dg perbuatan bapak.. Kami rakyat kecil hanya memohon untuk bapak melakukan yg terbaik..SALAM RAKYAT KECIL INDONESIA.",MK yang pilih hakim nya siapa ya pak,positif
75,@rizalabdil2275,Ugw7oM1NhTwGLd-ikLN4AaABAg,Uji materi ke mk pasti kalah!!,Uji materi ke mk pasti kalah,negatif
76,@ristiyana1544,UgxbCOgkiZrlmyPEIhh4AaABAg,"Duh qpa ini sikap yg di namakan pemimpin negara , disa\'at rakyat berharap beliau bs membela rakyat untuk menolak omnibuslow mlh di suruh ke MK ,, karepe ki piye toh pak2 !???",Duh apa ini sikap yg di namakan pemimpin negara disaat rakyat berharap beliau bisa membela rakyat untuk menolak malah di suruh ke mk pak,negatif
77,@narasumber5301,UgxUrOjC14c7HhRSg1h4AaABAg,Sabar aja dulu 4 tahun lg...,Sabar aja dulu 4 tahun lg,netral
78,@yohanisbomba8090,Ugy42Z9ry7HHKYh9g6J4AaABAg,Yg membuat konten ini orangx benci pemerinta cuma bisa mengambil vdio trahir,Yg membuat konten ini orang benci pemerintah cuma bisa mengambil video terakhir,positif
79,@mbakdjumofficial1924,Ugx98vLF3wtahun7de09EZ4AaABAg,Ajukan ke SMK,Ajukan ke ,netral
80,@deepturtle132,Ugy_QeVsltAT2AjI4y94AaABAg,BEBEKNYA GIMANA PAK..SEHAT2 SEMUA..GEMUK GEMUK YA... MANUSIA DI INDONESIA BANYAK YG UDH MULAI KURUS NIH PAK..KRN PD GA KERJA PHK DIMANA MANA KRN KEGAGALAN PENANGGULANGAN COVID... YG MSH AKTIF KERJA JD BURUH JG NNTI GA ADA HARGANYA.... KYNYA MAHALAN BEBEK DI KALIMANTAN NIH DRPD SUARA BURUH DAN RAKYAT.. SOALNYA SITU MALAH MILIH NEMUIN BEBEK DRPD PERWAKILAN BURUH DAN MAHASISWA.. SABAR YAA...BEBEK LEBIH MULIA DI BANDINGKAN RAKYAT YG SEDANG GELISAH. WEEESSSSS AMBYAAAARRR CUUUUKKK...,,netral
81,@pujianto98851,UgwtB0W0avz5gzh00HV4AaABAg,MK nya netral gak pak ???,Mk nya netral tidak pak,netral
82,@quinzhagaming6495,UgzD9QQmQslWjSgEBF94AaABAg,hebatnya pak president,Hebatnya pak presiden,positif
83,@mohammadgalangsantoso6302,Ugxfbo_dxH_nQKbqiWF4AaABAg,"ga netral tuh si MK emang yg bener bapak COD aj sm orang orang DPR terus buang tuh Omnibus Law. Nah kalau udah kami masyarakat gak ganggu lagi kok... ya kan dulu katanya mau di demo ya kami demo, emang yg pihak atas yg salah jadi harus benerin juga kalau di demo wkwkwkww",Ga netral,positif
84,@nabilamasyitahuno9570,Ugxfbo_dxH_nQKbqiWF4AaABAg.9EfjedyXRot9EikvobHbcp,Kamu kan yg pilih knp skr sewot,Kamu kan yg pilih kenapa sekarang ,positif
85,@mohammadgalangsantoso6302,Ugxfbo_dxH_nQKbqiWF4AaABAg.9EfjedyXRot9EjVmULhLEq,@@nabilamasyitahuno9570 saya gak milih mbakðŸ˜‚ðŸ˜‚ soal pemilu saya gak omong2 ke orang maap, saya gak milih mbak soal pemilu saya gak omong ke orang maaf,netral
86,@arendimuladi639,UgwDwjw83tY4HPd2_Yl4AaABAg,"Percumalah kalo di dalamnya isinya Mafia dan para Chukong""2",cuma kalo di dalam isinya mafia dan para,negatif
87,@covid-jt7xh,UgwbiIVF0OKwPJ2N9Ox4AaABAg,Saya gigit nya mana ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,Saya gigit nya mana,netral
88,@fanoMV,UgwSntLmfTMjawFiT-x4AaABAg,Kalo mau rubah uji klinis dulu uji dulu. Nah sebagai uji nya coba orang dpr terapkan omnibuslaw. Mao kaga.udah intinya kalo emang mau uji dulu. Jgn maen ketok palu. Palalu mau gua palu? Uji dulu.,Kalo mau rubah uji klinis dulu uji dulu nah sebagai uji nya coba orang dpr terapkan omnibuslaw mao kagaudah intinya kalo emang mau uji dulu jgn maen ketok palu palalu mau gua palu uji dulu,negatif
89,@fanoMV,Ugx29T_np0oqBMXXDk54AaABAg,"Turun dah,semua negara tanpa program ini bisa maju ekonominya. Lah ini kita buruh banyak petani dll banyak. Jgn samakan negara lain. Negara lain aja banyak menolam program kaya gini. Trutama as sm sm negara demokrasi. Pimpinan nya aja nolak. Ini malah so so an rubah .",Turun dahsemua negara tanpa program ini bisa,negatif
90,@fanoMV,UgxP221QuxmXAjW2ptt4AaABAg,siapaam mafia mk sama aja ngadu ke orang orang lu juga itu mah.,siapaam mafia mk sama aja ngadu ke orang orang lu juga itu mah,negatif
91,@fanoMV,Ugy7DF8Febn2cFYceNF4AaABAg,Mk isinya mafia semua. Yah ttp aja. Pembodohan publik,Mk isinya mafia semua yah ttp aja pembodohan publik,negatif
92,@putrinovita2477,Ugy_XWxhWksiapaoStdFDt4AaABAg,marai misoh,Marai misoh,negatif
93,@farisakbar3889,UgzmtCTI_iXZSaWWXIZ4AaABAg,"INI NAMPAKNYA BUKAN MENYURUTKAN RAKYAT BERGERAK UNTUK MENUNTUT PEMBATALAN UU CIPTA KERJA KAYAKNYA YA ALLAH YA RABB SAMPAI KAPAN KONDISI NEGERI INI KEMBALI DAMAI, TENTRAM, RAKYAT PENUH KERINDUAN KEDAMAIAN..",Ini nampaknya bukan menyurutkan rakyat bergerak untuk menuntut pembatalan uu cipta kerja kayaknya ya allah ya rabb sampai kapan kondisi negeri ini kembali,negatif
94,@imasade6699,Ugy7p1GVu3wraseEM7V4AaABAg,"Sabar president ku tercinta, keputusan yg anda ambil pasti berdasarkan pertimbangan yang matang guna untuk menjaga keseimbangan negeri. Jangan pernah menyerah untuk mencari jalan kesejahteraan dan kemajuan bangsa ini. Harus selalu di ingat Baginda Rasulullah SAW yang tidak ada salahnya tetap saja tidak sedikit yang membenci beliau",,positif
95,@yokinyt1009,Ugy7p1GVu3wraseEM7V4AaABAg.9Ef7w9tay0F9EiXcqmxjGG,Aminn aminn,Aminn aminn,positif
96,@shamsulblack2591,UgyyXl0DdxzawDxkS9p4AaABAg,"Ya allah,baru ku tahu begini sikap bila udah kaya raya..terasa dihati melihat,apa yg akan terjadi dalm kehidupan kemiskinan yg perlu keuwangan dlm harian,xdapat ku bayangkan..ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­",Ya allahbaru ku tahu begini sikap bila udah kaya rayaterasa dihati melihatapa yg akan terjadi dalm kehidupan kemiskinan yg perlu keuwangan dlm harianxdapat ku bayangkan,positif
97,@akhirzaman3764,UgzDzGmmLzniXSNQ0ex4AaABAg,"Allah telah menjelaskan dalam Qur\'an tentang pemimpin Zalim yg selalu mengambil keputusan dimalam hari : Dan mereka (orang-orang munafik) mengatakan: ""(Kewajiban kami hanyalah) taat"". Tetapi apabila mereka telah pergi dari sisimu, sebahagian dari mereka mengatur siasat di malam hari (mengambil keputusan) lain dari yang telah mereka katakan tadi. Allah menulis siasat yang mereka atur di malam hari itu, maka berpalinglah kamu dari mereka dan tawakallah kepada Allah. Cukuplah Allah menjadi Pelindung.( QS An-nisa :81 ) Mereka bersembunyi dari manusia, tetapi mereka tidak bersembunyi dari Allah, padahal Allah beserta mereka, ketika pada suatu malam mereka menetapkan keputusan rahasia yang Allah tidak redlai. Dan adalah Allah Maha Meliputi (ilmu-Nya) terhadap apa yang mereka kerjakan. (QS An-nisa :108)",,positif
98,@anissuji3595,UgyEa5yz8fTBb2NDz2V4AaABAg,Katajokowi rindu utk d demo. Klau pemerintah salah perlu d demo supaya di luruskan. Piye to....,Katajokowi rindu utk d demo klau pemerintah salah perlu d demo supaya di luruskan piye to,positif
99,@muhammadsalleh6972,UgznoTuMYH_mUPHf2VV4AaABAg,Jika benar Pak Amien Rais cukup sokongan Dan Rakyat cenderung kepada pembubaran bagi memastikan kestabilan politik dan negara dapat dipulihkan Maka megadakan PEMILU dengan segera bukanlah pekara yang begitu buruk.,Jika benar pak amien rais cukup sokongan dan rakyat cenderung kepada pembubaran bagi memastikan kestabilan politik dan negara dapat di,positif
100,@jalansetapak1022,UgwvM8rwHuNd1yS0EsF4AaABAg,"Percuma ke MK juga,BPJS ditolak MK pemerintah malah melanggar hasil MK",Percuma ke mk jugabpjs ditolak mk pemerintah malah melanggar hasil mk,negatif
101,@softzyngindonesia,UgwvM8rwHuNd1yS0EsF4AaABAg.9EesXo2pWvJ9EiGl874tWF,Setuju,Setuju,positif
102,@irhamuliqbal9575,Ugw8wHj4SWE3qjm-BNR4AaABAg,oh ini ya yg katanya petugas partai itu ðŸ¤­,Oh ini ya yg katanya petugas partai itu,positif
103,@dandikerwanto8645,UgxVVu6J4FXr_xG2xBB4AaABAg,saya nnnton tv infonya pun tidak jelas,Saya nnnton tv infonya pun tidak jelas,positif
104,@himaxhimax8890,Ugyo_EysA-115i02GMx4AaABAg,SATU KATA GOLPUT,Satu kata golput,netral
105,@himaxhimax8890,UgyPRNmjeuL6baKRd4l4AaABAg,SATU KATA GOLPUT,Satu kata golput,netral
106,@himaxhimax8890,UgzWntrZg8FPfs0WAHp4AaABAg,SATU KATA GOLPUT,Satu kata golput,netral
107,@himaxhimax8890,UgzITTIdfhRdq3QVJtt4AaABAg,SATU KATA GOLPUT,Satu kata golput,netral
